# s1, s2, s3, s4, s5, s6, s7, s8, s9, sMean, LidoSNS1, LidoSNS2, LidoSNS3, LidoSNSmean, LidoSham1, LidoSham2, LidoSham3, LidoShamMean, Hex1, Hex2, Hex3, HexMean, Atr1, Atr2, Atr3, AtrMean
1.494549386107841826e-01,3.172878812344252786e-02,1.600421475202563060e-01,8.102130118918060564e-02,2.727098317390434096e-02,2.225275908722977591e-01,1.924151599066228346e-01,1.325352439779903801e-01,3.749569298691922126e-01,1.524392314715189989e-01,2.503287535913225059e-01,3.403100464983832008e-01,5.564338390913745602e-01,3.823575463936934038e-01,1.599529714611716003e-01,4.615793542105149916e-01,5.869018197774266143e-01,4.028113818163710502e-01,3.853691101771957728e-01,2.677856891522950034e-01,3.204324744955486248e-01,3.245290912750131707e-01,1.510615201788837736e-01,4.568334787536930119e-01,3.257531656769702133e-01,3.112160548698489904e-01
1.478928238326444600e-01,2.760607083708940118e-02,1.104394351947055597e-01,7.229539406089972864e-02,3.220459660230003129e-02,1.998426155504187673e-01,1.700920155135051959e-01,1.298144406197481726e-01,3.415127050356975280e-01,1.368555663607787520e-01,1.804616685757742256e-01,2.971867789726171938e-01,5.588694165846714856e-01,3.455059547110209128e-01,2.157837881557354565e-01,4.085485185990213597e-01,5.319024701814953904e-01,3.854115923120840503e-01,3.730117974011390447e-01,2.614020553925998636e-01,3.239964344574618460e-01,3.194700957504002514e-01,2.511717139408596866e-01,4.872241785771640465e-01,3.609838412210221170e-01,3.664599112463486352e-01
1.607729370190347784e-01,2.303562618734780049e-02,6.681620790787752562e-02,3.731924188996087188e-02,4.025283997781224643e-02,2.217531923725734322e-01,1.169697306993779107e-01,1.096260346463349133e-01,4.287532363370811228e-01,1.339221163374889612e-01,1.173469331206620225e-01,3.417535472850217748e-01,5.468545536518043537e-01,3.353183446858293837e-01,2.454699575792992916e-01,3.782540478534816009e-01,5.639203165997870304e-01,3.958814406775226225e-01,2.533443195968202444e-01,2.328293229295132216e-01,3.012668093719325091e-01,2.624801506327553158e-01,2.883422492906387857e-01,4.776570631071315742e-01,3.842681184038685416e-01,3.834224769338796523e-01
1.657946613613440479e-01,2.803972749788908800e-02,5.054644651205286721e-02,4.106607854978063660e-02,3.632895237105767533e-02,2.698703702677591743e-01,1.937059183451541600e-01,1.100464164134229428e-01,3.634345902113770288e-01,1.398703512810930694e-01,1.244275752617691744e-01,3.887050440289523401e-01,5.485995783174895113e-01,3.539107325360703604e-01,2.981081887636236605e-01,4.474279013115013415e-01,5.073135219598267076e-01,4.176165373449838847e-01,1.717074463508159177e-01,2.936487468428204961e-01,3.372064885804552103e-01,2.675208939246971895e-01,2.990148753946991200e-01,4.742996224402073469e-01,4.176256351190907878e-01,3.969800443179991034e-01
1.350500494495178727e-01,2.637148592909547423e-02,4.592411155663604638e-02,4.690854989777435563e-02,3.581255980395897653e-02,2.816429626739050951e-01,1.730862939715555326e-01,1.271681452407024682e-01,3.823452034688402112e-01,1.393677068879984327e-01,1.610922119785681283e-01,4.826642191516179459e-01,5.640150715198487541e-01,4.025905008833449705e-01,3.003054309793197763e-01,4.049796199984737055e-01,4.747684514955084478e-01,3.933511674911006062e-01,1.345148328971983998e-01,2.209069079755695275e-01,3.791751652194079725e-01,2.448656353640586147e-01,3.253574584263176361e-01,4.929566640849761816e-01,4.610463442382879973e-01,4.264534889165272347e-01
1.227097405287487647e-01,2.946269435699468836e-02,6.016918839422915471e-02,7.318221621553493150e-02,3.433459173484326721e-02,3.148214804360645047e-01,2.018030419206037485e-01,1.354551812128332866e-01,4.464516645545568707e-01,1.575988665949343559e-01,2.000444058219388310e-01,4.127507691109480459e-01,5.282747540010858112e-01,3.803566429779909330e-01,3.215431902915219520e-01,4.537906640451540019e-01,4.555395113955588715e-01,4.102911219107449603e-01,1.473155178500363260e-01,2.439824779702893243e-01,5.002182817846433371e-01,2.971720925349896625e-01,3.520431240216337909e-01,4.835128364789841870e-01,4.580684424377375885e-01,4.312081343127851518e-01
1.625896808359358903e-01,3.183044708056616268e-02,5.192658547740523073e-02,8.273009036306597230e-02,3.705422091588907174e-02,2.572334795845117594e-01,2.933478041850728357e-01,1.433749293034916605e-01,4.702609088512336166e-01,1.700386829552413548e-01,2.638083405174852514e-01,4.220831970055661242e-01,5.086833165716594385e-01,3.981916180315702714e-01,3.176672268386273035e-01,4.853674657806233972e-01,4.776021908349061817e-01,4.268789611513856275e-01,1.723599585780581367e-01,2.436469087965594527e-01,5.468846966021281286e-01,3.209638546589152486e-01,2.710827320397868334e-01,4.483135235056973644e-01,4.409048700255313591e-01,3.867670418570052226e-01
1.503022891110029069e-01,3.544359829495087599e-02,6.663256473731209162e-02,8.519445839876702009e-02,2.732109116905512280e-02,2.114143048286964977e-01,3.128716043300071026e-01,1.807520451516825832e-01,4.567654041743772209e-01,1.696330400217612722e-01,3.023610274358087824e-01,4.228391926868916295e-01,5.535397298570032820e-01,4.262466499932345276e-01,2.992826844228184124e-01,4.872450713100489605e-01,3.679621207638902325e-01,3.848299588322525722e-01,1.960763931477309541e-01,2.489411785665048282e-01,5.469642406257284595e-01,3.306606041133213769e-01,2.323724366667153096e-01,4.353819717986057714e-01,4.118266838723853018e-01,3.598603641125688313e-01
1.393284792710790809e-01,4.326863178739236149e-02,1.111819490585062020e-01,1.099479367429708476e-01,3.574236201682303576e-02,1.779138505861134756e-01,2.465554944860384734e-01,1.770453511929456769e-01,4.339879563060023426e-01,1.638857790497635081e-01,3.244367595462299692e-01,4.259377192616897179e-01,5.734631264701871567e-01,4.412792017593689664e-01,2.599794000417711137e-01,4.075652814407438873e-01,2.917497817048501085e-01,3.197648210624550180e-01,2.414837076281635686e-01,2.070039639069642945e-01,4.971667181757981058e-01,3.152181299036420081e-01,2.195594020566468407e-01,4.976148169380971709e-01,3.598307336880246510e-01,3.590016508942562301e-01
1.467774253275028751e-01,4.759867086642457362e-02,1.764182030232413767e-01,1.310359067387932286e-01,4.297991044049238873e-02,1.800813053328154112e-01,2.699087953243277660e-01,1.449167601843134590e-01,4.554275680949823046e-01,1.772382828147659461e-01,3.237288434156299632e-01,2.979455065572141348e-01,5.889748693391018142e-01,4.035497397706486744e-01,2.669087072273413352e-01,3.924870407922139148e-01,2.461689113630061709e-01,3.018548864608538440e-01,2.206846063469287134e-01,2.121076705011038510e-01,5.337258749713557071e-01,3.221727172731294053e-01,1.706128246115555247e-01,4.576480927103631080e-01,3.441854612663813873e-01,3.241487928627667103e-01
